Title,Module/Category,Product Family,Description,Proposed Type,Status,Hardcoded Values Found,What Would Need to Become Configurable,RBAC/Permissions Involved,Dependencies,Open Questions
Keycloak SSO Sign-In,Auth/SSO,Odisha HUDD Finance & Governance Dashboard,Officials sign in via Keycloak OIDC (NextAuth). No local username/password login is offered on the login page.,Standard,Draft,"app/login/page.tsx:8-10,48-52 (HUDD Integrated Dashboard, Housing & Urban Development Department, Odisha); components/GovLoginBranding.tsx:12-21 (Government of Odisha, HUDD logo alt); app/layout.tsx:10-11 (HUDD — Odisha Urban Governance); lib/hudd-logo.ts:4 (/Frame 1.svg); lib/next-base-path.ts:7 (/hudd-dashboard)","Department/product name, logo asset, login copy, Next.js basePath, Keycloak realm/client env vars",Public route; post-login session required,"NextAuth (auth.ts), Keycloak issuer/client env, proxy.ts route guard",None for the SSO path itself; confirm whether any non-Keycloak login is ever required for offline demos.
Federated Logout,Auth/SSO,Odisha HUDD Finance & Governance Dashboard,Clears the app session and redirects to Keycloak end-session so the IdP session is also ended.,Standard,Draft,app/api/auth/keycloak/logout/route.ts (post-logout redirect defaults to /login under base path),Post-logout redirect URI and Keycloak logout endpoint configuration,Any authenticated user,Keycloak SSO Sign-In,
Session Profile Hydration (RBAC/me),Auth/SSO,Odisha HUDD Finance & Governance Dashboard,"After login, loads the DB user profile, effective permissions, org metadata, and assigned schemes into the client session (cached as hudd_session_user).",Standard,Draft,src/lib/auth.ts:7 (localStorage key hudd_session_user),Session cache key naming; fallback role when Keycloak role is missing (currently NODAL_OFFICER in rbac/me),Authenticated session; returns empty permissions if DB user is not provisioned,User Admin CRUD; Server-Side Permission Resolution,What should happen when a Keycloak user has no matching DB user — hard block vs read-only?
Self-Service Password Change,Auth/SSO,Odisha HUDD Finance & Governance Dashboard,Signed-in officers can change their Keycloak password from My Profile after verifying the current password.,Capability,Draft,"app/profile/page.tsx:126,163 (HUDD Officer / HUDD Nexus Dashboard labels on same page)",Branding strings on profile page; password policy rules if they differ by department,Authenticated user with a DB User.code (phone username),Keycloak Admin/ROPC helpers; Profile View,Assumes phone-as-username model used for HUDD Keycloak users — portable to other IdP username schemes?
Server-Side Permission Resolution,RBAC,Odisha HUDD Finance & Governance Dashboard,Computes effective permissions as role grants plus allow overrides minus deny overrides; used by API route guards.,Standard,Draft,None client-specific beyond permission code catalog,Permission catalog contents; default role→permission matrix,All Permission codes in src/types/index.ts,Role-Permission Mapping; Per-User Permission Overrides,"Several seeded permissions (VIEW_COMMAND_CENTRE, VIEW_ANALYTICS, EXPORT_REPORTS, APPROVE_FINANCIAL, MANAGE_FINANCIAL_DATA) are weakly or never enforced — classify as gaps vs intentional."
Role Catalog & Role-Permission Matrix,RBAC,Odisha HUDD Finance & Governance Dashboard,Admin UI to list roles and toggle which permission codes each role holds; role name/code can be edited.,Standard,Draft,app/admin/roles/page.tsx:21 (display label Vertical Head for VERTICAL_HEAD),"Built-in role codes (ACS, VERTICAL_HEAD, FA, TASU, NODAL_OFFICER) and their display names; Keycloak client role sync on rename",MANAGE_PERMISSIONS,Permission catalog API; Audit Logging,Renaming a role code in DB does not rename the matching Keycloak client role — confirm operational rule.
Per-User Permission Overrides,RBAC,Odisha HUDD Finance & Governance Dashboard,Admins can grant or deny individual permissions to a specific officer without changing their role; prevents removing the last MANAGE_PERMISSIONS holder.,Capability,Draft,None,Override UX and last-admin safeguard policy,MANAGE_PERMISSIONS,User Directory Admin; Server-Side Permission Resolution,
User Admin CRUD with Keycloak Sync,RBAC,Odisha HUDD Finance & Governance Dashboard,"Create/update/soft-delete officers (10-digit phone as Keycloak username), assign a DB role, and sync the matching Keycloak client role; supports org/designation/section/ULB/officer-type metadata.",Standard,Draft,prisma/seed_roles_core.cjs:153 (bootstrap email tasu.admin@hudd.bootstrap); phone-length rule in admin users API,"Username format (10-digit phone), bootstrap admin identity, OfficerType labels (GOVERNMENT/PMU), default role NODAL_OFFICER",MANAGE_USERS or MANAGE_PERMISSIONS,Keycloak Admin API; System Settings reference data,Sidebar Administration nav is TASU-role-only while ACS is seeded MANAGE_USERS/MANAGE_PERMISSIONS — nav vs permission mismatch.
Admin Temporary Password Reset,RBAC,Odisha HUDD Finance & Governance Dashboard,Admins set a temporary Keycloak password so the officer must change it on next login.,Standard,Draft,None,Temporary-password behaviour and notification channel (currently none in-app),MANAGE_USERS,User Admin CRUD with Keycloak Sync,
Client Route & Permission Guards,Security,Odisha HUDD Finance & Governance Dashboard,Client hooks redirect unauthenticated or under-privileged users away from pages (role and/or permission checks).,Standard,Draft,None,Which pages are role-gated vs permission-gated (today mixed),Per-page UserRole and Permission arrays,Session Profile Hydration; Proxy Middleware,Guards are client-side; APIs are authoritative — confirm this split is acceptable for government security review.
